station,train_year,train_year_label,eval_years,cv_type,cap_name,season_irrigation_cap,season_n_cap,seed,total_timesteps,run_order,notes,model_path,quality_gate_pass
HLA,2011,observed_mid_rain_year,"2011,2007,2009",observed_year_leave_one,cap_low,100.0,150.0,0,5000,1,HLA_pilot,Leave_One_experiments/season_cap_sensitivity/models/HLA/HLA_train2011_cap_low_seed0_action_safe.zip,True
HLA,2011,observed_mid_rain_year,"2011,2007,2009",observed_year_leave_one,cap_mid_low,150.0,225.0,0,5000,2,HLA_pilot,Leave_One_experiments/season_cap_sensitivity/models/HLA/HLA_train2011_cap_mid_low_seed0_action_safe.zip,True
HLA,2011,observed_mid_rain_year,"2011,2007,2009",observed_year_leave_one,cap_current,200.0,300.0,0,5000,3,HLA_pilot,Leave_One_experiments/season_cap_sensitivity/models/HLA/HLA_train2011_cap_current_seed0_action_safe.zip,True
HLA,2011,observed_mid_rain_year,"2011,2007,2009",observed_year_leave_one,cap_mid_high,250.0,375.0,0,5000,4,HLA_pilot,Leave_One_experiments/season_cap_sensitivity/models/HLA/HLA_train2011_cap_mid_high_seed0_action_safe.zip,True
HLA,2011,observed_mid_rain_year,"2011,2007,2009",observed_year_leave_one,cap_high,300.0,450.0,0,5000,5,HLA_pilot,Leave_One_experiments/season_cap_sensitivity/models/HLA/HLA_train2011_cap_high_seed0_action_safe.zip,True
SYA,2012,observed_high_rain_year,"2012,2014,2015",observed_year_leave_one,cap_low,100.0,150.0,0,5000,6,season_cap_sensitivity,Leave_One_experiments/season_cap_sensitivity/models/SYA/SYA_train2012_cap_low_seed0_action_safe.zip,True
SYA,2012,observed_high_rain_year,"2012,2014,2015",observed_year_leave_one,cap_mid_low,150.0,225.0,0,5000,7,season_cap_sensitivity,Leave_One_experiments/season_cap_sensitivity/models/SYA/SYA_train2012_cap_mid_low_seed0_action_safe.zip,True
SYA,2012,observed_high_rain_year,"2012,2014,2015",observed_year_leave_one,cap_current,200.0,300.0,0,5000,8,season_cap_sensitivity,Leave_One_experiments/season_cap_sensitivity/models/SYA/SYA_train2012_cap_current_seed0_action_safe.zip,True
SYA,2012,observed_high_rain_year,"2012,2014,2015",observed_year_leave_one,cap_mid_high,250.0,375.0,0,5000,9,season_cap_sensitivity,Leave_One_experiments/season_cap_sensitivity/models/SYA/SYA_train2012_cap_mid_high_seed0_action_safe.zip,True
SYA,2012,observed_high_rain_year,"2012,2014,2015",observed_year_leave_one,cap_high,300.0,450.0,0,5000,10,season_cap_sensitivity,Leave_One_experiments/season_cap_sensitivity/models/SYA/SYA_train2012_cap_high_seed0_action_safe.zip,True
LCA,2010,observed_low_rain_year,"2010,2011,2008,2009",observed_year_leave_one,cap_low,100.0,150.0,0,5000,11,season_cap_sensitivity,Leave_One_experiments/season_cap_sensitivity/models/LCA/LCA_train2010_cap_low_seed0_action_safe.zip,True
LCA,2010,observed_low_rain_year,"2010,2011,2008,2009",observed_year_leave_one,cap_mid_low,150.0,225.0,0,5000,12,season_cap_sensitivity,Leave_One_experiments/season_cap_sensitivity/models/LCA/LCA_train2010_cap_mid_low_seed0_action_safe.zip,True
LCA,2010,observed_low_rain_year,"2010,2011,2008,2009",observed_year_leave_one,cap_current,200.0,300.0,0,5000,13,season_cap_sensitivity,Leave_One_experiments/season_cap_sensitivity/models/LCA/LCA_train2010_cap_current_seed0_action_safe.zip,True
LCA,2010,observed_low_rain_year,"2010,2011,2008,2009",observed_year_leave_one,cap_mid_high,250.0,375.0,0,5000,14,season_cap_sensitivity,Leave_One_experiments/season_cap_sensitivity/models/LCA/LCA_train2010_cap_mid_high_seed0_action_safe.zip,True
LCA,2010,observed_low_rain_year,"2010,2011,2008,2009",observed_year_leave_one,cap_high,300.0,450.0,0,5000,15,season_cap_sensitivity,Leave_One_experiments/season_cap_sensitivity/models/LCA/LCA_train2010_cap_high_seed0_action_safe.zip,True
FQA,2010,observed_higher_rain_year,"2010,2008",limited_two_year_cross_validation,cap_low,100.0,150.0,0,5000,16,season_cap_sensitivity,Leave_One_experiments/season_cap_sensitivity/models/FQA/FQA_train2010_cap_low_seed0_action_safe.zip,True
FQA,2010,observed_higher_rain_year,"2010,2008",limited_two_year_cross_validation,cap_mid_low,150.0,225.0,0,5000,17,season_cap_sensitivity,Leave_One_experiments/season_cap_sensitivity/models/FQA/FQA_train2010_cap_mid_low_seed0_action_safe.zip,True
FQA,2010,observed_higher_rain_year,"2010,2008",limited_two_year_cross_validation,cap_current,200.0,300.0,0,5000,18,season_cap_sensitivity,Leave_One_experiments/season_cap_sensitivity/models/FQA/FQA_train2010_cap_current_seed0_action_safe.zip,True
FQA,2010,observed_higher_rain_year,"2010,2008",limited_two_year_cross_validation,cap_mid_high,250.0,375.0,0,5000,19,season_cap_sensitivity,Leave_One_experiments/season_cap_sensitivity/models/FQA/FQA_train2010_cap_mid_high_seed0_action_safe.zip,True
FQA,2010,observed_higher_rain_year,"2010,2008",limited_two_year_cross_validation,cap_high,300.0,450.0,0,5000,20,season_cap_sensitivity,Leave_One_experiments/season_cap_sensitivity/models/FQA/FQA_train2010_cap_high_seed0_action_safe.zip,True
YCA,2008,observed_higher_rain_year,"2008,2014",limited_two_year_cross_validation,cap_low,100.0,150.0,0,5000,21,season_cap_sensitivity,Leave_One_experiments/season_cap_sensitivity/models/YCA/YCA_train2008_cap_low_seed0_action_safe.zip,True
YCA,2008,observed_higher_rain_year,"2008,2014",limited_two_year_cross_validation,cap_mid_low,150.0,225.0,0,5000,22,season_cap_sensitivity,Leave_One_experiments/season_cap_sensitivity/models/YCA/YCA_train2008_cap_mid_low_seed0_action_safe.zip,True
YCA,2008,observed_higher_rain_year,"2008,2014",limited_two_year_cross_validation,cap_current,200.0,300.0,0,5000,23,season_cap_sensitivity,Leave_One_experiments/season_cap_sensitivity/models/YCA/YCA_train2008_cap_current_seed0_action_safe.zip,True
YCA,2008,observed_higher_rain_year,"2008,2014",limited_two_year_cross_validation,cap_mid_high,250.0,375.0,0,5000,24,season_cap_sensitivity,Leave_One_experiments/season_cap_sensitivity/models/YCA/YCA_train2008_cap_mid_high_seed0_action_safe.zip,True
YCA,2008,observed_higher_rain_year,"2008,2014",limited_two_year_cross_validation,cap_high,300.0,450.0,0,5000,25,season_cap_sensitivity,Leave_One_experiments/season_cap_sensitivity/models/YCA/YCA_train2008_cap_high_seed0_action_safe.zip,True
